Fami,ID,M1BW,Time,Tank,Pop
F01,F01-1,3.39,99,T1,P1
F01,F01-2,3.39,99,T1,P1
F01,F01-3,3.39,100,T1,P1
F01,F01-4,3.39,100,T1,P1
F01,F01-5,3.39,100,T1,P1
F01,F01-6,3.39,100,T1,P1
F01,F01-7,3.39,100,T1,P1
F01,F01-8,3.39,100,T1,P1
F01,F01-9,3.39,101,T1,P1
F01,F01-10,3.39,101,T1,P1
F01,F01-11,3.39,102,T1,P1
F01,F01-12,3.39,102,T1,P1
F02,F02-1,5.06,99,T1,P2
F02,F02-2,5.06,99,T1,P2
F02,F02-3,5.06,100,T1,P2
F02,F02-4,5.06,100,T1,P2
F02,F02-5,5.06,100,T1,P2
F02,F02-6,5.06,100,T1,P2
F02,F02-7,5.06,100,T1,P2
F02,F02-8,5.06,100,T1,P2
F02,F02-9,5.06,101,T1,P2
F02,F02-10,5.06,101,T1,P2
F02,F02-11,5.06,101,T1,P2
F02,F02-12,5.06,101,T1,P2
F03,F03-1,3.56,99,T1,P2
F03,F03-2,3.56,99,T1,P2
F03,F03-3,3.56,99,T1,P2
F03,F03-4,3.56,99,T1,P2
F03,F03-5,3.56,99,T1,P2
F03,F03-6,3.56,100,T1,P2
F03,F03-7,3.56,100,T1,P2
F03,F03-8,3.56,100,T1,P2
F03,F03-9,3.56,100,T1,P2
F03,F03-10,3.56,100,T1,P2
F03,F03-11,3.56,100,T1,P2
F03,F03-12,3.56,101,T1,P2
F04,F04-1,4.72,99,T1,P2
F04,F04-2,4.72,99,T1,P2
F04,F04-3,4.72,99,T1,P2
F04,F04-4,4.72,100,T1,P2
F04,F04-5,4.72,100,T1,P2
F04,F04-6,4.72,100,T1,P2
F04,F04-7,4.72,100,T1,P2
F04,F04-8,4.72,100,T1,P2
F04,F04-9,4.72,100,T1,P2
F04,F04-10,4.72,100,T1,P2
F04,F04-11,4.72,101,T1,P2
F04,F04-12,4.72,101,T1,P2
F04,F04-13,4.72,101,T1,P2
F05,F05-1,1.5,99,T1,P2
F05,F05-2,1.5,99,T1,P2
F05,F05-3,1.5,99,T1,P2
F05,F05-4,1.5,99,T1,P2
F05,F05-5,1.5,99,T1,P2
F05,F05-6,1.5,100,T1,P2
F05,F05-7,1.5,100,T1,P2
F05,F05-8,1.5,100,T1,P2
F05,F05-9,1.5,100,T1,P2
F05,F05-10,1.5,100,T1,P2
F05,F05-11,1.5,100,T1,P2
F05,F05-12,1.5,101,T1,P2
